Publikation;Erscheinungstag;Druckprodukt;Startzeit;Produktionsende;Geplante Auflage;Sektion;Papiername;Planungskommentar;?txt_PagesInBroadSheets;Struktur
AZ;2013-01-19;KE_9;2013-01-18 20:12:00;2013-01-18 20:33:00;27000;F1;45 g - Standard;;;
AZ;2013-01-19;MO_9;2013-01-18 20:48:00;2013-01-18 20:56:00;10200;F1;45 g - Standard;;;
AZ;2013-01-19;WE;2013-01-18 21:10:00;2013-01-18 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-19;FU;2013-01-18 21:38:00;2013-01-18 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-19;IS;2013-01-18 22:09:00;2013-01-18 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-19;ME;2013-01-18 22:52:00;2013-01-18 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-19;KF;2013-01-18 23:39:00;2013-01-18 23:58:00;12300;F1;45 g - Standard;;;
Samstag, 19. Januar 2013
AZ;2013-01-19;BU;2013-01-19 00:13:00;2013-01-19 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-01-19;MO;2013-01-19 00:35:00;2013-01-19 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-01-19;KE;2013-01-19 01:05:00;2013-01-19 01:42:00;24300;F1;45 g - Standard;;;
Sonntag, 20. Januar 2013
AZ;2013-01-21;WE;2013-01-20 21:10:00;2013-01-20 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-21;FU;2013-01-20 21:38:00;2013-01-20 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-21;IS;2013-01-20 22:09:00;2013-01-20 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-21;ME;2013-01-20 22:52:00;2013-01-20 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-21;KF;2013-01-20 23:39:00;2013-01-20 23:58:00;12300;F1;45 g - Standard;;;
TEST;2013-01-20;SO;2013-01-20 12:01:00;2013-01-20 12:02:00;1;F2;45 g - Standard;;;
Montag, 21. Januar 2013
AZ;2013-01-21;BU;2013-01-21 00:13:00;2013-01-21 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-01-21;MO;2013-01-21 00:35:00;2013-01-21 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-01-21;KE;2013-01-21 01:05:00;2013-01-21 01:42:00;24300;F1;45 g - Standard;;;
MDG;2013-01-24;KM_B;2013-01-21 07:44:00;2013-01-21 10:48:00;245000;F1;45 g - Standard;;;
HF;2013-01-22;KE_1;2013-01-21 11:40:00;2013-01-21 12:26:00;60000;F1;52 g - UPM Brite 69C;;;
HF;2013-01-23;FU_1;2013-01-21 12:41:00;2013-01-21 13:15:00;22000;F1;52 g - UPM Brite 69C;;;
AZ;2013-01-22;WE;2013-01-21 21:10:00;2013-01-21 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-22;FU;2013-01-21 21:38:00;2013-01-21 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-22;IS;2013-01-21 22:09:00;2013-01-21 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-22;ME;2013-01-21 22:52:00;2013-01-21 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-22;KF;2013-01-21 23:39:00;2013-01-21 23:58:00;12300;F1;45 g - Standard;;;
Dienstag, 22. Januar 2013
AZ;2013-01-22;BU;2013-01-22 00:13:00;2013-01-22 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-01-22;MO;2013-01-22 00:35:00;2013-01-22 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-01-22;KE;2013-01-22 01:05:00;2013-01-22 01:42:00;24300;F1;45 g - Standard;;;
EX;2013-01-25;EXA_01;2013-01-22 09:10:00;2013-01-22 10:44:00;125000;F1;45 g - Standard;;;
HF;2013-01-25;WE_1;2013-01-22 10:59:00;2013-01-22 11:16:00;22000;F1;70 g - Vertapure;;;
WA;2013-01-23;EIS;2013-01-22 14:10:00;2013-01-22 15:06:00;37000;F1;45 g - Standard;;;
WA;2013-01-23;EFU;2013-01-22 15:21:00;2013-01-22 16:01:00;26000;F1;45 g - Standard;;;
AZ;2013-01-23;WE;2013-01-22 21:10:00;2013-01-22 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-23;FU;2013-01-22 21:38:00;2013-01-22 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-23;IS;2013-01-22 22:09:00;2013-01-22 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-23;ME;2013-01-22 22:52:00;2013-01-22 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-23;KF;2013-01-22 23:39:00;2013-01-23 00:16:00;24300;F1;45 g - Standard;;;
Mittwoch, 23. Januar 2013
AZ;2013-01-23;BU;2013-01-23 00:31:00;2013-01-23 00:38:00;4200;F1;45 g - Standard;;;
